
Date and Time of Report:,10/05/2018 01:13:47
Product ID,Name,Price,Discontinued,Stock Exists,Warehouse ID
1,Pen,2.0,false,true,1
2,Comb,2.0,false,true,1
4,b,12.0,false,true,1
8,f,0.0,false,false,1

Time:,10/05/2018 01:17:08
Product ID,Name,Price,Discontinued,Stock Exists,Warehouse ID
1,Pen,2.0,false,true,1
2,Comb,2.0,false,true,1
4,b,12.0,false,true,1
8,f,0.0,false,false,1

Time:,10/05/2018 01:17:10
Product ID,Name,Price,Discontinued,Stock Exists,Warehouse ID
1,Pen,2.0,false,true,1
2,Comb,2.0,false,true,1
4,b,12.0,false,true,1
8,f,0.0,false,false,1
